ID,NAME,RA,DEC,ra,dec,g,r, g-r,Opt_vel,C-c_dist,C-c/R200,delta_v,delta_v/vel_disp,Type_M,Type_H
[SDG99]-SRC 1315,APMUKS(BJ) B043028.38-124909.4,68.20041,-12.71455,4 32 48.1,-12 42 52.38,-,-,-,9964,1.4,0.84,80,0.12,S,Habn
[SDG99]-SRC 1324,APMUKS(BJ) B043029.28-124836.2,68.2042,-12.70535,4 32 49.01,-12 42 19.26,-,-,-,10037,1.42,0.85,153,0.22,M,-
1020,2MASX J04315796-1249068,67.99146,-12.81858,4 31 57.95,-12 49 06.89,15.392,14.643,0.75,10020,1.45,0.87,136,0.2,M,-
Fuera de imagenes,2MASX J04335614-1239069,68.48387,-12.65203,4 33 56.13,-12 39 07.31,-,-,-,9393,1.47,0.88,-491,-0.72,M,-
[SDG99]-SRC 2252,APMUKS(BJ) B043252.55-135125.8,68.79591,-13.75514,4 35 11.02,-13 45 18.50,17.966,17.529,0.437,10963,1.5,0.9,1079,1.58,S,-
Fuera de imagenes,APMUKS(BJ) B043213.08-124704.2,68.63664,-12.68174,4 34 32.79,-12 40 54.26,-,-,-,9647,1.49,0.89,-237,-0.35,M,-
Fuera de las imagenes,2MASX J04344941-1348467,68.70588,-13.81303,4 34 49.41,-13 48 46.91,-,-,-,9990,1.5,0.9,106,0.15,M,-
859,2MASX J04313277-1253222,67.8865,-12.8895,4 31 32.76,-12 53 22.20,-,-,-,10044,1.53,0.92,160,0.23,M,-
[SDG99]-SRC 672,AGC 440516,67.76426,-13.18904,4 31 03.42,-13 11 20.54,-,-,-,10776,1.55,0.93,892,1.3,S,-
,2MASX J04355344-1335452,68.97262,-13.59597,4 35 53.43,-13 35 45.49,16.928,16.033,0.895,10539,1.57,0.94,655,0.96,M,-
Fuera de las imagenes,APMUKS(BJ) B042840.27-132810.4,67.74707,-13.3628,4 30 59.3,-13 21 46.08,-,-,-,9850,1.6,0.96,-34,-0.05,M,-
Fuera de las imagenes,APMUKS(BJ) B043354.54-131200.5,69.05723,-13.09929,4 36 13.74,-13 05 57.44,-,-,-,9950,1.6,0.96,66,0.1,M,-
642,2MASX J04305764-1311402,67.74029,-13.19442,4 30 57.67,-13 11 39.91,-,-,-,10829,1.6,0.96,945,1.38,M,-
Fuera de las imagenes,2MASX J04334718-1354520,68.44662,-13.91458,4 33 47.19,-13 54 52.49,-,-,-,9903,1.56,0.94,19,0.03,M,-
Fuera de las imagenes,APMUKS(BJ) B043354.15-133344.2,69.05388,-13.46141,4 36 12.93,-13 27 41.08,-,-,-,9781,1.62,0.97,-103,-0.15,M,-
Fuera de las imagenes,APMUKS(BJ) B042910.89-125704.0,67.87705,-12.84493,4 31 30.49,-12 50 41.75,-,-,-,9234,1.61,0.97,-650,-0.95,M,-
1127,2MASX J04321513-1350168,68.06296,-13.83792,4 32 15.11,-13 50 16.51,-,-,-,9467,1.61,0.96,-417,-0.61,M,-
[SDG99]-SRC 1099,MCG -02-12-036,68.03992,-12.69497,4 32 09.58,-12 41 41.89,-,-,-,10323,1.62,0.97,439,0.64,S,H
Fuera de las imagenes,APMUKS(BJ) B042834.75-132728.2,67.72413,-13.35097,4 30 53.79,-13 21 03.49,-,-,-,9550,1.65,0.99,-334,-0.49,M,-
Fuera de las imagenes,APMUKS(BJ) B043043.63-124217.4,68.26446,-12.60039,4 33 03.47,-12 36 01.40,-,-,-,10027,1.62,0.97,143,0.21,M,-
617,2MFGC 03671,67.71779,-13.36164,4 30 52.27,-13 21 41.90,-,-,-,10184,1.67,1,300,0.44,M,-
Fuera de las imagenes,LCSB S0740N,68.11529,-12.64531,4 32 27.67,-12 38 43.12,-,-,-,10339,1.63,0.98,455,0.66,S,-
936,2MASX J04314473-1245352,67.93646,-12.75975,4 31 44.75,-12 45 35.10,16.343,15.611,0.732,10597,1.65,0.99,713,1.04,M,-
Fuera de las imagenes,APMUKS(BJ) B043056.10-124129.7,68.31646,-12.58738,4 33 15.95,-12 35 14.57,-,-,-,11025,1.63,0.98,1141,1.67,M,-
[SDG99]-SRC 603,APMUKS(BJ) B042830.60-131852.8,67.70753,-13.20773,4 30 49.81,-13 12 27.83,-,-,-,9786,1.68,1.01,-98,-0.14,S,-
Fuera de las imagenes,2MASX J04314493-1245112,67.93729,-12.75322,4 31 44.95,-12 45 11.59,-,-,-,10031,1.66,0.99,147,0.21,M,-
Fuera de las imagenes,2MASX J04340693-1356119,68.52883,-13.93669,4 34 06.92,-13 56 12.08,-,-,-,9723,1.64,0.98,-161,-0.24,M,-
[SDG99]-SRC 982,APMUKS(BJ) B042930.59-125014.8,67.95963,-12.73163,4 31 50.31,-12 43 53.87,-,-,-,10919,1.66,1,1035,1.51,S,H
671,IC 0375,67.76308,-12.97397,4 31 03.14,-12 58 26.29,-,-,-,10524,1.69,1.01,640,0.93,S,-
Fuera de las imagenes,APMUKS(BJ) B043257.46-135603.5,68.81599,-13.83237,4 35 15.84,-13 49 56.53,-,-,-,10161,1.68,1.01,277,0.4,M,-
Fuera de las imagenes,APMUKS(BJ) B043058.47-140337.9,68.31982,-13.95635,4 33 16.76,-13 57 22.86,-,-,-,9991,1.67,1,107,0.16,M,-
Fuera de las imagenes,2MASX J04362850-1309040,69.11883,-13.15106,4 36 28.52,-13 09 03.82,-,-,-,9857,1.72,1.03,-27,-0.04,M,-
Fuera de las imagenes,2MASX J04341861-1357209,68.5775,-13.95581,4 34 18.6,-13 57 20.92,-,-,-,9364,1.71,1.02,-520,-0.76,M,-
Fuera de las imagenes,2MASX J04312983-1245442,67.87438,-12.76228,4 31 29.85,-12 45 44.21,-,-,-,9950,1.75,1.05,66,0.1,M,-
Fuera de las imagenes,APMUKS(BJ) B043410.52-131000.0,69.12395,-13.06612,4 36 29.75,-13 03 58.03,-,-,-,10126,1.78,1.06,242,0.35,M,-
Fuera de las imagenes,2MASX J04344474-1356037,68.68642,-13.93442,4 34 44.74,-13 56 03.91,-,-,-,10071,1.74,1.04,187,0.27,M,-
Fuera de las imagenes,MCG -02-12-040,68.41138,-12.53447,4 33 38.73,-12 32 04.09,-,-,-,9812,1.74,1.04,-72,-0.11,S,-
