#ID RA          DEC
234 068.3345833 -13.0539639
235 068.3352500 -13.3473028
236 068.3390000 -13.0712861
237 068.3396250 -13.2203750
238 068.3427917 -13.0136194
239 068.3450417 -13.3940139
240 068.3473750 -13.3390250
241 068.3490833 -13.3270861
242 068.3494583 -13.5173694
243 068.3537500 -13.2282167
244 068.3549583 -12.8059306
245 068.3565417 -13.5154556
246 068.3566250 -13.6860167
247 068.3605417 -13.2882111
248 068.3671667 -13.4663361
249 068.3683750 -13.4554667
250 068.3690417 -12.9395222
251 068.3710000 -13.4466306
252 068.3712083 -13.6872722
253 068.3720833 -12.7139111
254 068.3788333 -13.3794444
255 068.3802917 -13.4222278
256 068.3803333 -12.8476389
257 068.3805000 -13.1208361
258 068.3809583 -13.2816750
259 068.3835833 -13.1719639
260 068.3835833 -13.2550194
261 068.3884583 -13.2869861
262 068.3897083 -13.3145861
263 068.3902500 -12.4854333
264 068.3913333 -13.3807528
265 068.3990417 -13.4256472
266 068.4002917 -13.2453722
267 068.4003333 -13.2359278
268 068.4011667 -13.3251000
269 068.4016250 -12.9673194
270 068.4023750 -12.9490083
271 068.4034583 -13.0167722
272 068.4038333 -13.3568722
273 068.4047917 -13.1795583
274 068.4052500 -13.0792056
275 068.4052917 -13.0044833
276 068.4056667 -13.2556750
277 068.4060417 -12.9990056
278 068.4065417 -13.2504000
279 068.4077083 -13.2609611
280 068.4102083 -13.2637500
281 068.4102500 -13.0443472
282 068.4104167 -13.5960694
283 068.4108333 -13.5265694
284 068.4112083 -13.0531972
285 068.4114583 -12.5346333
286 068.4147500 -13.2701611
287 068.4148333 -13.3421056
288 068.4204583 -13.3001861
289 068.4222917 -13.3518611
290 068.4223750 -12.9294361
291 068.4227500 -13.1701944
292 068.4231250 -13.2646417
293 068.4251250 -13.2815972
294 068.4277500 -13.3396639
295 068.4282500 -13.1463306
296 068.4289583 -13.0871667
297 068.4290417 -12.6343833
298 068.4308333 -13.5745778
299 068.4316667 -12.7022444
300 068.4366667 -13.5637472
301 068.4368750 -12.9947028
302 068.4375000 -13.3966528
303 068.4401667 -13.0949944
304 068.4446250 -13.2989056
305 068.4522917 -13.4342194
306 068.4537917 -13.2072806
307 068.4543750 -13.0889472
308 068.4616667 -13.5433972
309 068.4635833 -13.2481583
310 068.4667500 -11.7048222
311 068.4697917 -13.2565194
312 068.4835000 -12.6521306
313 068.4872083 -13.3220778
314 068.4875417 -13.4624361
315 068.4907917 -13.6633833
316 068.4927500 -13.4260694
317 068.4959167 -13.1074694
318 068.5044583 -12.4051139
319 068.5065417 -13.2333528
320 068.5077500 -13.0159194
321 068.5083333 -13.2966944
322 068.5128750 -13.2197694
